label,bag_path,duration_sec,maximum_speed_kph,wheel_contacts,minimum_wheel_clearance_m,rear_center_rms_m,rear_center_max_m,cte_rms_m,cte_p95_m,cte_max_m,cte_max_elapsed_sec,minimum_wheel_clearance_elapsed_sec,minimum_wheel_clearance_x_m,minimum_wheel_clearance_y_m,curved_cte_p95_m,high_speed_cte_p95_m,steering_rate_rms_degps,steering_rate_p95_degps,straight_samples,straight_brake_samples,brake_samples,direct_pedal_reversals,heading_suppression_samples,maximum_heading_suppression_weight
baseline_01,/tmp/hybrid_cte_recovery_050_01.bag,129.7667863368988,58.30887908935547,0,0.03908527631999359,0.14947471015624383,0.33274551657994295,0.15204830930889157,0.32520387742625306,0.5367896974240581,10.50025725364685,10.410931825637817,-94.51712674775627,-360.1339150685817,0.35783533652140215,0.18998684801067664,18.07263781594363,52.08141645707104,942,0,415,16,0,0.0
baseline_02,/tmp/hybrid_cte_recovery_050_02.bag,129.6999843120575,58.29247512817383,0,0.0683362751553529,0.1495676571223663,0.34266678251654537,0.15176388471101054,0.3278886030806656,0.5168470437779672,114.8665623664856,13.513305902481079,-99.2527193671558,-347.62505831569433,0.3532874732031858,0.17151669573441178,18.40910441322402,54.8687732251976,935,0,419,18,0,0.0
baseline_03,/tmp/session_recovery050_03.bag,129.6999397277832,58.29474105834961,0,0.010311030068911542,0.15012791459014357,0.34799064891057024,0.1506358790114407,0.32594867847343084,0.6005261686995854,114.93336939811707,114.82781076431274,-80.84692251344677,340.2773521821946,0.3484046584917101,0.1989805451066543,17.51961161555532,49.98679092590462,943,0,436,20,0,0.0
no_heading_cap_01,/tmp/session_gain060_recovery055_01.bag,129.70009899139404,58.30957260131836,0,0.08789601219372534,0.14678659105948103,0.34266678251654537,0.14439323086956912,0.30515544576301684,0.4973629283247819,10.26661491394043,10.236450433731079,-94.6780372139765,-360.6852380540222,0.32708805198961155,0.18973805892797077,18.399562463373897,53.63727621615949,946,0,434,18,0,0.0
no_heading_cap_02,/tmp/session_gain060_recovery055_02.bag,129.76675844192505,58.31613693237305,0,0.1053700080641764,0.1465202038473689,0.36497003712594744,0.14548137034000277,0.3043130431623886,0.49865929697607736,115.06665825843811,114.97091031074524,-80.69907805055846,340.27387307491153,0.3217246804618054,0.18243367723529702,18.15952405968483,51.53992987533779,944,0,402,14,0,0.0
no_heading_cap_03,/tmp/session_final055_01.bag,129.70018672943115,58.286824035644536,1,-0.009427653437930505,0.14702872774914286,0.35671789892803296,0.14545953005238313,0.3113799622839059,0.6060256639371099,115.10001540184021,115.09462761878967,-80.09899640607182,340.62982489867136,0.32362653414605874,0.17777686798686648,18.218995404855036,52.344081809785614,921,0,415,18,0,0.0
recovery_only_cap_01,/tmp/session_heading_cap30_01.bag,129.7330276966095,58.29789276123047,0,0.07555942908433444,0.14751478924996786,0.37142091418754386,0.14822050326971922,0.33188367615997727,0.5231834040458425,114.16638422012329,109.837233543396,-96.15350561315427,324.7244214056991,0.3603241306694364,0.16651813840241134,18.45941305235104,53.283584292043265,939,0,420,16,54,0.3
recovery_only_cap_02,/tmp/session_heading_cap30_02.bag,129.73313093185425,58.30150451660156,0,0.046214619888504505,0.147763361706189,0.36497003712594744,0.1486483212551248,0.3183067243333851,0.548364314462307,114.56640934944153,114.49145364761353,-79.6511111506261,340.804321735166,0.33571183444680996,0.2812082778678816,18.800755742440494,55.35605916843968,914,0,414,20,36,0.3
recovery_only_cap_03,/tmp/session_heading_cap30_03.bag,129.7666425704956,58.31067810058594,0,0.1081885827179867,0.1481689070699322,0.33618534676426537,0.1471221675049967,0.31924954840632946,0.49553849656567217,114.73318481445312,114.67950797080994,-80.69907805055846,340.27387307491153,0.33673945772900243,0.1769030430071707,18.26972995576215,52.314798808185564,931,0,427,20,50,0.3
recovery_only_cap_04,/tmp/session_final58_extended_04.bag,129.6998908519745,58.305885314941406,0,0.02865957546775899,0.14529140349595987,0.3433943049588692,0.1437759686583274,0.31714199729057213,0.5800333220930922,114.89996075630188,114.86366677284241,-81.29480782494647,340.1028554085642,0.3384888731472312,0.16446507957791062,18.391565083993072,53.920575662029684,940,0,424,18,27,0.3
