group,runs,safe_runs,wheel_contacts_total,minimum_wheel_clearance_worst_m,minimum_wheel_clearance_mean_m,cte_rms_mean_m,cte_p95_mean_m,cte_max_worst_m,curved_cte_p95_mean_m,steering_rate_rms_mean_degps,steering_rate_p95_worst_degps,maximum_speed_worst_kph,straight_brake_samples_total,direct_pedal_reversals_mean
baseline,3,3,0,0.010311030068911542,0.03924419384808601,0.15148269101044762,0.32634705299344985,0.6005261686995854,0.353175822738766,18.000451281574325,54.8687732251976,58.30887908935547,0,18.0
no_heading_cap,3,2,1,-0.009427653437930505,0.061279455606657075,0.14511137708731833,0.3069494837364371,0.6060256639371099,0.32414642219915857,18.25936064263792,53.63727621615949,58.31613693237305,0,16.666666666666668
recovery_only_cap,10,9,1,-0.021310847319214954,0.06837573950557932,0.14684263367105185,0.31888072072284196,0.616085726043171,0.34002701876025265,18.38210825174939,55.35605916843968,58.31560134887695,0,18.2
final_heading_cap_rate1,6,5,1,-0.01717563038894876,0.05623744393739146,0.14556211018420598,0.31102800048818613,0.6316332128715267,0.3305834256134762,18.40692824301944,59.38773228475049,58.32807083129883,0,18.333333333333332
return_rate2_speed2,1,0,1,-0.01008480170956294,-0.01008480170956294,0.14714893473792462,0.3163307678728322,0.6235951248357758,0.3321229923991624,19.70113808814448,51.85619987009324,58.308302307128905,0,20.0
final,5,5,0,0.08081460103636062,0.10601983693181798,0.13732020531938116,0.2888884267049075,0.5354268106575528,0.30599876766021,19.950537926126753,57.57858494539909,58.30710067749023,0,16.0
target_58_5,3,2,1,-0.005624180215721086,0.047332586769636885,0.14739066296673287,0.31883158872134393,0.6021651013775142,0.34071621351525283,18.219378371075162,54.98887145359538,58.82807922363281,0,17.333333333333332
