group,runs,safe_runs,wheel_contacts_total,minimum_wheel_clearance_worst_m,minimum_wheel_clearance_mean_m,cte_rms_mean_m,cte_p95_mean_m,cte_max_worst_m,curved_cte_p95_mean_m,steering_rate_rms_mean_degps,steering_rate_p95_worst_degps,maximum_speed_worst_kph,straight_brake_samples_total,direct_pedal_reversals_mean
baseline050,3,3,0,0.010311030068911542,0.03924419384808601,0.15148269101044762,0.32634705299344985,0.6005261686995854,0.353175822738766,18.000451281574325,54.8687732251976,58.30887908935547,0,18.0
recovery045,2,2,0,0.02468949978996804,0.08178928681632491,0.15071254256266184,0.32170103691852625,0.5680786602269544,0.347027352850687,17.831825572187213,51.84881144605887,58.29270858764649,0,17.0
recovery040,1,1,0,0.0171472704404656,0.0171472704404656,0.14940416876687826,0.3165203790877865,0.5751434583645506,0.333756074886061,17.68262547861726,51.44143242411524,58.295050048828124,0,18.0
pp_cte055,1,1,0,0.03722259434597763,0.03722259434597763,0.14725090203269578,0.31563551665105377,0.5796873384809527,0.3383250149493028,17.404486046823042,49.472499832701324,58.292633056640625,0,18.0
recovery060,2,2,0,0.023452215900694018,0.03766136160847855,0.15237079656901026,0.33181538858853343,0.5539795595403719,0.3478509431814112,17.192423602390008,48.64370930128818,58.28716735839844,0,17.0
latacc16,1,0,1,-0.022342400790771322,-0.022342400790771322,0.1548085118285363,0.3377282223337024,0.5925751828835297,0.36435818375699836,17.90194296705893,52.2961588210177,58.303550720214844,0,19.0
