label,bag_path,duration_sec,maximum_speed_kph,wheel_contacts,minimum_wheel_clearance_m,rear_center_rms_m,rear_center_max_m,cte_rms_m,cte_p95_m,cte_max_m,cte_max_elapsed_sec,minimum_wheel_clearance_elapsed_sec,minimum_wheel_clearance_x_m,minimum_wheel_clearance_y_m,curved_cte_p95_m,high_speed_cte_p95_m,steering_rate_rms_degps,steering_rate_p95_degps,straight_samples,straight_brake_samples,brake_samples,direct_pedal_reversals
baseline050_01,/tmp/hybrid_cte_recovery_050_01.bag,129.7667863368988,58.30887908935547,0,0.03908527631999359,0.14947471015624383,0.33274551657994295,0.15204830930889157,0.32520387742625306,0.5367896974240581,10.50025725364685,10.410931825637817,-94.51712674775627,-360.1339150685817,0.35783533652140215,0.18998684801067664,18.07263781594363,52.08141645707104,942,0,415,16
baseline050_02,/tmp/hybrid_cte_recovery_050_02.bag,129.6999843120575,58.29247512817383,0,0.0683362751553529,0.1495676571223663,0.34266678251654537,0.15176388471101054,0.3278886030806656,0.5168470437779672,114.8665623664856,13.513305902481079,-99.2527193671558,-347.62505831569433,0.3532874732031858,0.17151669573441178,18.40910441322402,54.8687732251976,935,0,419,18
baseline050_03,/tmp/session_recovery050_03.bag,129.6999397277832,58.29474105834961,0,0.010311030068911542,0.15012791459014357,0.34799064891057024,0.1506358790114407,0.32594867847343084,0.6005261686995854,114.93336939811707,114.82781076431274,-80.84692251344677,340.2773521821946,0.3484046584917101,0.1989805451066543,17.51961161555532,49.98679092590462,943,0,436,20
recovery045_01,/tmp/session_recovery045_01.bag,129.76656126976013,58.28486709594727,0,0.1388890738426818,0.14983693410064416,0.33618534676426537,0.14978145701217266,0.3197573791868175,0.45091289493566006,22.33323621749878,115.17841863632202,-79.50326669565402,340.80084264837205,0.3476940781031975,0.17783141822222057,17.985739500490666,51.84881144605887,932,0,437,18
recovery045_02,/tmp/session_recovery045_02.bag,129.7335855960846,58.29270858764649,0,0.02468949978996804,0.14956083916869262,0.34516077807942924,0.15164362811315102,0.32364469465023493,0.5680786602269544,114.0667872428894,114.00629329681396,-84.46482145687332,337.40190571686253,0.3463606275981765,0.17980101295130818,17.67791164388376,51.44777089670538,931,0,409,16
recovery040_02,/tmp/session_recovery040_02.bag,129.70011258125305,58.295050048828124,0,0.0171472704404656,0.15011203406555118,0.3433943049588692,0.14940416876687826,0.3165203790877865,0.5751434583645506,114.23333048820496,114.12319755554199,-83.85603549645748,338.127725510858,0.333756074886061,0.17569263252764106,17.68262547861726,51.44143242411524,932,0,426,18
pp_cte055_01,/tmp/session_pp_cte055_01.bag,129.7668297290802,58.292633056640625,0,0.03722259434597763,0.1477449575897684,0.32381630755629404,0.14725090203269578,0.31563551665105377,0.5796873384809527,114.36670708656311,114.34454131126404,-81.74704508594004,339.7434245431796,0.3383250149493028,0.21884346845051555,17.404486046823042,49.472499832701324,943,0,417,18
recovery060_01,/tmp/hybrid_cte_recovery_060_01.bag,129.70000505447388,58.28716735839844,0,0.05187050731626308,0.14881723372643338,0.34864723391802477,0.1523501887577149,0.32944367730052687,0.5509358667445381,20.833346605300903,20.832631826400757,-128.36272833822295,-327.3262184802443,0.3464296327756644,0.19145463295988355,17.31038793037781,48.64370930128818,940,0,434,16
recovery060_02,/tmp/hybrid_cte_recovery_060_02.bag,129.76643705368042,58.28400192260742,0,0.023452215900694018,0.14776830076801456,0.31461631935509216,0.1523914043803056,0.33418709987654,0.5539795595403719,111.40009665489197,111.39634609222412,-95.99695642013103,325.0908102700487,0.34927225358715797,0.18751163906638818,17.074459274402205,47.773051988064815,955,0,457,18
latacc16,/tmp/hybrid_latacc16_01.bag,129.7667372226715,58.303550720214844,1,-0.022342400790771322,0.14988697017160466,0.34864723391802477,0.1548085118285363,0.3377282223337024,0.5925751828835297,113.43325400352478,113.40406489372253,-95.38816860807128,325.81662929197773,0.36435818375699836,0.16704307464184293,17.90194296705893,52.2961588210177,909,0,434,19
