label,bag_path,duration_sec,maximum_speed_kph,wheel_contacts,minimum_wheel_clearance_m,rear_center_rms_m,rear_center_max_m,cte_rms_m,cte_p95_m,cte_max_m,cte_max_elapsed_sec,minimum_wheel_clearance_elapsed_sec,minimum_wheel_clearance_x_m,minimum_wheel_clearance_y_m,curved_cte_p95_m,high_speed_cte_p95_m,steering_rate_rms_degps,steering_rate_p95_degps,straight_samples,straight_brake_samples,brake_samples,direct_pedal_reversals,heading_suppression_samples,maximum_heading_suppression_weight
final_01,/tmp/session_curve_approach1_full_01.bag,129.66657853126526,58.28146133422852,0,0.10510698817049402,0.1468817831538642,0.37683781743975553,0.13645414683916154,0.28988504549130095,0.4924433844033625,125.76659727096558,125.68457055091858,-80.39903722179588,340.451848980505,0.30847734999497783,0.17985894017595522,19.408884242561143,51.42868618540855,790,0,466,16,35,0.3
final_02,/tmp/session_curve_approach1_full_02.bag,129.76658034324646,58.29193267822266,0,0.10176691926269243,0.1452903902588746,0.3172664935724103,0.13813076401244595,0.291020653321286,0.5127388656643912,125.36657047271729,125.30609178543091,-81.5992006129818,339.73994542006403,0.3041283028606098,0.1719288062373311,20.475337549138864,57.57858494539909,797,0,457,16,44,0.3
final_03,/tmp/session_curve_approach1_full_03.bag,129.66660618782043,58.30710067749023,0,0.08081460103636062,0.1437318791264577,0.3334225038434214,0.1367638010266105,0.2887160859392712,0.5354268106575528,125.36653733253479,14.30342435836792,-97.08708582306281,-349.8964494699612,0.30797872541130533,0.18114814877743446,19.837825357441776,52.79458282209784,794,0,469,14,36,0.3
final_04,/tmp/session_curve_approach1_full_04.bag,129.69991278648376,58.27957305908203,0,0.11860546570502795,0.14548706908321907,0.34749390913849126,0.13820662654562063,0.2931891130448567,0.4790882775555711,119.5331814289093,119.50301551818848,-97.9972788185114,321.8072281545028,0.3081821846737258,0.17611644585626773,20.45308002140841,55.24172834919874,786,0,466,18,36,0.3
final_05,/tmp/session_curve_approach1_full_05.bag,129.7666835784912,58.2828483581543,0,0.12380521048451487,0.14670784960701436,0.32206654430559356,0.13704568817306717,0.2816312357278225,0.4792145398294877,125.00003027915955,125.504549741745,-79.95115194993559,340.62634580396116,0.30122727536043137,0.17339737937090544,19.577562460083573,50.49188590507209,792,0,469,16,39,0.3
